,BTC,XRP,4b. close (USD),4b. close (USD),4b. close (USD)
2019-09-11,10158.33,0.25519,178.28,69.8,0.0023892
2019-09-12,10415.01,0.25406,180.72,69.15,0.0023928
2019-09-13,10342.06,0.2552,180.95,68.93,0.002399
2019-09-14,10335.02,0.26124,188.13,70.5,0.0024192
2019-09-15,10302.01,0.26022,189.03,70.04,0.002426
2019-09-16,10251.31,0.26098,197.22,72.63,0.0024309
2019-09-17,10187.82,0.28561,207.84,74.04,0.002594
2019-09-18,10156.99,0.31344,210.21,77.81,0.0027015
2019-09-19,10244.29,0.30062,220.24,76.56,0.0027083
2019-09-20,10168.59,0.2936,218.03,75.05,0.0026497
2019-09-21,9986.39,0.28961,215.05,73.22,0.0025772
2019-09-22,10028.87,0.27653,211.2,72.23,0.002562
2019-09-23,9702.25,0.26786,201.29,66.54,0.0024474
2019-09-24,8493.14,0.23282,165.81,54.57,0.00219
2019-09-25,8430.05,0.2457,169.96,57.43,0.0021757
2019-09-26,8063.73,0.2422,165.92,55.19,0.0021396
2019-09-27,8177.91,0.24208,173.79,55.86,0.0021723
2019-09-28,8198.81,0.24163,173.49,55.37,0.0021974
2019-09-29,8043.82,0.24024,169.24,53.82,0.0021854
2019-09-30,8289.34,0.2566,180.85,55.99,0.0023747
2019-10-01,8292.44,0.24788,175.66,55.63,0.0023503
2019-10-02,8359.94,0.25247,180.24,56.23,0.002323
2019-10-03,8223.96,0.24674,174.69,56.44,0.0022977
2019-10-04,8137.13,0.25243,175.55,56.3,0.0022893
2019-10-05,8126.19,0.25325,176.25,56.69,0.0022922
2019-10-06,7854.25,0.25552,170.1,54.41,0.0022677
2019-10-07,8190.09,0.27592,179.85,57.46,0.002331
2019-10-08,8168.39,0.2774,180.6,56.94,0.0023096
2019-10-09,8560.74,0.28082,192.62,59.12,0.0023522
2019-10-10,8558.03,0.27021,191.14,57.47,0.0023
2019-10-11,8258.5,0.26743,180.72,55.85,0.0022909
2019-10-12,8300.09,0.27226,179.68,55.7,0.0023196
2019-10-13,8275.01,0.27726,180.99,56.46,0.0024317
2019-10-14,8348.2,0.29727,186.72,56.83,0.0025415
2019-10-15,8159.29,0.28859,180.49,54.58,0.0024964
2019-10-16,7991.74,0.28331,174.47,52.45,0.0026162
2019-10-17,8070.58,0.30167,177.16,54.94,0.0027405
2019-10-18,7947.01,0.29404,172.74,53.21,0.0026952
2019-10-19,7948.01,0.29145,171.79,53.72,0.0027176
2019-10-20,8223.35,0.29386,175.22,54.85,0.0027151
2019-10-21,8197.27,0.29187,173.98,54.57,0.0026879
2019-10-22,8020.0,0.29046,171.2,53.39,0.0025311
2019-10-23,7466.62,0.27306,162.35,49.5,0.0024746
2019-10-24,7412.41,0.27596,160.38,49.54,0.0025183
2019-10-25,8655.02,0.29829,181.5,56.93,0.0026694
2019-10-26,9230.0,0.29351,179.49,56.71,0.0025925
2019-10-27,9529.93,0.29818,183.75,59.78,0.00264
2019-10-28,9205.14,0.29447,181.72,57.7,0.0026265
2019-10-29,9407.62,0.30192,190.46,59.75,0.002625
2019-10-30,9154.72,0.29471,183.13,57.89,0.0025936
