,Date,SPY
542,2020-11-11,356.62
543,2020-11-12,353.28
544,2020-11-13,357.33
545,2020-11-16,362.43
546,2020-11-17,360.64
547,2020-11-18,356.29
548,2020-11-19,357.76
549,2020-11-20,355.34
550,2020-11-23,357.47
551,2020-11-24,363.19
552,2020-11-25,362.65
553,2020-11-27,363.65
554,2020-11-30,362.0
555,2020-12-01,365.97
556,2020-12-02,366.7599
557,2020-12-03,366.6698
558,2020-12-04,369.83
559,2020-12-07,369.12
560,2020-12-08,370.1599
561,2020-12-09,366.89
562,2020-12-10,366.72
563,2020-12-11,366.28
564,2020-12-14,364.61
565,2020-12-15,369.57
566,2020-12-16,370.14
567,2020-12-17,372.21
568,2020-12-18,369.13
569,2020-12-21,367.93
570,2020-12-22,367.22
571,2020-12-23,367.53
572,2020-12-24,368.9899
573,2020-12-28,372.14
574,2020-12-29,371.48
575,2020-12-30,371.93
576,2020-12-31,373.85
577,2021-01-04,368.85
578,2021-01-05,371.32
579,2021-01-06,373.53
580,2021-01-07,379.06
581,2021-01-08,381.24
582,2021-01-11,378.74
583,2021-01-12,378.81
584,2021-01-13,379.76
585,2021-01-14,378.45
586,2021-01-15,375.68
587,2021-01-19,378.63
588,2021-01-20,383.86
589,2021-01-21,384.2
590,2021-01-22,382.86
591,2021-01-25,384.4
592,2021-01-26,383.83
593,2021-01-27,374.44
594,2021-01-28,377.6
595,2021-01-29,370.19
596,2021-02-01,376.18
597,2021-02-02,381.54
598,2021-02-03,381.86
599,2021-02-04,386.17
600,2021-02-05,387.68
601,2021-02-08,390.53
602,2021-02-09,390.25
603,2021-02-10,390.1
604,2021-02-11,390.73
605,2021-02-12,392.69
606,2021-02-16,392.34
607,2021-02-17,392.43
608,2021-02-18,390.75
609,2021-02-19,390.02
610,2021-02-22,387.11
611,2021-02-23,387.5
612,2021-02-24,391.76
613,2021-02-25,382.39
614,2021-02-26,380.32
615,2021-03-01,389.52
616,2021-03-02,386.55
617,2021-03-03,381.45
618,2021-03-04,376.73
619,2021-03-05,383.595
620,2021-03-08,381.74
621,2021-03-09,387.11
622,2021-03-10,389.5199
623,2021-03-11,393.5
624,2021-03-12,394.09
625,2021-03-15,396.47
626,2021-03-16,395.94
627,2021-03-17,397.22
628,2021-03-18,391.41
629,2021-03-19,389.5
630,2021-03-22,392.54
631,2021-03-23,389.59
632,2021-03-24,387.55
633,2021-03-25,389.64
634,2021-03-26,395.97
635,2021-03-29,395.485
636,2021-03-30,394.78
637,2021-03-31,396.26
638,2021-04-01,400.53
639,2021-04-05,406.3
640,2021-04-06,406.06
641,2021-04-07,406.5711
642,2021-04-08,408.49
643,2021-04-09,411.435
644,2021-04-12,411.62
645,2021-04-13,412.82
646,2021-04-14,411.48
647,2021-04-15,415.82
648,2021-04-16,417.31
649,2021-04-19,415.24
650,2021-04-20,412.22
651,2021-04-21,416.08
652,2021-04-22,412.3
653,2021-04-23,416.72
654,2021-04-26,417.64
655,2021-04-27,417.48
656,2021-04-28,417.35
657,2021-04-29,419.98
658,2021-04-30,417.3
659,2021-05-03,418.18
660,2021-05-04,415.64
661,2021-05-05,415.72
662,2021-05-06,419.08
663,2021-05-07,422.09
664,2021-05-10,417.98
665,2021-05-11,414.27
666,2021-05-12,405.45
667,2021-05-13,410.26
668,2021-05-14,416.53
669,2021-05-17,415.55
670,2021-05-18,411.99
671,2021-05-19,410.9
672,2021-05-20,415.24
673,2021-05-21,414.95
674,2021-05-24,419.12
675,2021-05-25,418.25
676,2021-05-26,419.04
677,2021-05-27,419.69
678,2021-05-28,420.02
679,2021-06-01,419.63
680,2021-06-02,420.38
681,2021-06-03,418.86
682,2021-06-04,422.57
683,2021-06-07,422.23
684,2021-06-08,422.27
685,2021-06-09,421.62
686,2021-06-10,423.58
687,2021-06-11,424.31
688,2021-06-14,425.29
689,2021-06-15,424.5
