Date,BTC RC
<<<<<<< HEAD
2017-02-16,0.45996652283396566
2017-02-17,0.46909187372070726
2017-02-21,0.9999940048345937
2017-02-22,0.9808381168892804
2017-02-23,-0.16605695341739923
2017-02-24,0.7494435952063933
2017-02-27,0.9968611456837271
2017-02-28,-0.12102400870256817
2017-03-01,0.9840434558558513
2017-03-02,0.6538400477996743
2017-03-03,-0.8520034845101694
2017-03-06,-0.29448529043255556
2017-03-07,0.8671511512519882
2017-03-08,0.9831023351375556
2017-03-09,0.9802264103872859
2017-03-10,-0.7303349978885878
2017-03-13,-0.049064487712286234
2017-03-14,-0.4646349332672481
2017-03-15,0.6310676895054399
2017-03-16,-0.19154061663530733
2017-03-17,0.9870635965387915
2017-03-20,0.9560182608901034
2017-03-21,-0.6425744984550338
2017-03-22,-0.5643207823193837
