,ETH
2019-12-23,127.80000000
2019-12-22,132.09000000
2019-12-21,126.99000000
2019-12-20,128.19000000
2019-12-19,128.10000000
2019-12-18,132.78000000
2019-12-17,121.88000000
2019-12-16,132.73000000
2019-12-15,142.46000000
2019-12-14,141.79000000
2019-12-13,144.80000000
2019-12-12,144.87000000
2019-12-11,143.39000000
2019-12-10,145.56000000
2019-12-09,147.38000000
2019-12-08,150.44000000
2019-12-07,147.14000000
2019-12-06,148.45000000
2019-12-05,148.10000000
2019-12-04,145.38000000
2019-12-03,147.17000000
2019-12-02,148.65000000
2019-12-01,150.73000000
2019-11-30,151.37000000
2019-11-29,154.57000000
2019-11-28,150.72000000
2019-11-27,152.62000000
2019-11-26,147.47000000
2019-11-25,145.69000000
2019-11-24,139.96000000
2019-11-23,151.84000000
2019-11-22,149.56000000
2019-11-21,161.01000000
2019-11-20,174.72000000
2019-11-19,175.94000000
2019-11-18,178.20000000
2019-11-17,183.82000000
2019-11-16,182.37000000
2019-11-15,180.00000000
2019-11-14,184.92000000
2019-11-13,188.11000000
2019-11-12,187.09000000
2019-11-11,184.98000000
2019-11-10,188.96000000
2019-11-09,184.89000000
2019-11-08,183.74000000
2019-11-07,186.68000000
2019-11-06,191.16000000
2019-11-05,188.68000000
2019-11-04,185.71000000
2019-11-03,181.54000000
2019-11-02,182.91000000
2019-11-01,182.85000000
2019-10-31,182.18000000
2019-10-30,183.13000000
2019-10-29,190.46000000
2019-10-28,181.72000000
2019-10-27,183.75000000
2019-10-26,179.49000000
2019-10-25,181.50000000
2019-10-24,160.38000000
2019-10-23,162.35000000
2019-10-22,171.20000000
2019-10-21,173.98000000
2019-10-20,175.22000000
2019-10-19,171.79000000
2019-10-18,172.74000000
2019-10-17,177.16000000
2019-10-16,174.47000000
2019-10-15,180.49000000
2019-10-14,186.72000000
2019-10-13,180.99000000
2019-10-12,179.68000000
2019-10-11,180.72000000
2019-10-10,191.14000000
2019-10-09,192.62000000
2019-10-08,180.60000000
2019-10-07,179.85000000
2019-10-06,170.10000000
2019-10-05,176.25000000
2019-10-04,175.55000000
2019-10-03,174.69000000
2019-10-02,180.24000000
2019-10-01,175.66000000
2019-09-30,180.85000000
2019-09-29,169.24000000
2019-09-28,173.49000000
2019-09-27,173.79000000
2019-09-26,165.92000000
2019-09-25,169.96000000
2019-09-24,165.81000000
2019-09-23,201.29000000
2019-09-22,211.20000000
2019-09-21,215.05000000
2019-09-20,218.03000000
2019-09-19,220.24000000
2019-09-18,210.21000000
2019-09-17,207.84000000
2019-09-16,197.22000000
2019-09-15,189.03000000
2019-09-14,188.13000000
2019-09-13,180.95000000
2019-09-12,180.72000000
2019-09-11,178.28000000
2019-09-10,179.81000000
2019-09-09,180.54000000
2019-09-08,181.19000000
2019-09-07,177.62000000
2019-09-06,169.08000000
2019-09-05,173.75000000
2019-09-04,174.72000000
2019-09-03,178.75000000
2019-09-02,178.05000000
2019-09-01,170.74000000
2019-08-31,171.57000000
2019-08-30,168.50000000
2019-08-29,169.01000000
2019-08-28,173.03000000
2019-08-27,187.24000000
2019-08-26,188.67000000
2019-08-25,186.54000000
2019-08-24,190.60000000
2019-08-23,194.02000000
2019-08-22,190.35000000
2019-08-21,187.45000000
2019-08-20,196.60000000
2019-08-19,202.28000000
2019-08-18,194.33000000
2019-08-17,185.59000000
2019-08-16,184.88000000
2019-08-15,188.03000000
2019-08-14,187.10000000
2019-08-13,209.30000000
2019-08-12,211.41000000
2019-08-11,216.42000000
2019-08-10,206.48000000
2019-08-09,210.53000000
2019-08-08,221.39000000
2019-08-07,226.10000000
2019-08-06,226.28000000
2019-08-05,233.54000000
2019-08-04,221.79000000
2019-08-03,222.14000000
2019-08-02,217.61000000
2019-08-01,216.84000000
2019-07-31,218.42000000
2019-07-30,209.58000000
2019-07-29,210.89000000
2019-07-28,211.62000000
2019-07-27,207.30000000
2019-07-26,218.81000000
2019-07-25,219.14000000
2019-07-24,216.31000000
2019-07-23,212.48000000
2019-07-22,217.51000000
2019-07-21,225.38000000
2019-07-20,228.20000000
2019-07-19,220.73000000
2019-07-18,225.73000000
2019-07-17,210.81000000
2019-07-16,198.88000000
2019-07-15,228.20000000
2019-07-14,225.85000000
2019-07-13,268.79000000
2019-07-12,274.62000000
2019-07-11,268.63000000
2019-07-10,289.23000000
2019-07-09,307.46000000
2019-07-08,311.97000000
2019-07-07,304.72000000
2019-07-06,288.29000000
2019-07-05,287.47000000
2019-07-04,282.73000000
2019-07-03,301.14000000
2019-07-02,291.48000000
2019-07-01,295.07000000
2019-06-30,292.70000000
2019-06-29,317.62000000
2019-06-28,311.05000000
2019-06-27,298.35000000
2019-06-26,339.39000000
2019-06-25,318.26000000
2019-06-24,311.64000000
2019-06-23,308.52000000
2019-06-22,310.79000000
2019-06-21,294.35000000
2019-06-20,271.22000000
2019-06-19,268.14000000
2019-06-18,264.66000000
2019-06-17,273.16000000
2019-06-16,267.73000000
2019-06-15,267.82000000
2019-06-14,262.47000000
2019-06-13,254.67000000
2019-06-12,261.15000000
2019-06-11,244.29000000
2019-06-10,246.51000000
2019-06-09,230.98000000
2019-06-08,243.25000000
2019-06-07,248.77000000
2019-06-06,248.76000000
2019-06-05,245.63000000
2019-06-04,241.39000000
2019-06-03,249.91000000
2019-06-02,268.88000000
2019-06-01,264.33000000
2019-05-31,267.90000000
2019-05-30,254.56000000
2019-05-29,268.83000000
2019-05-28,271.03000000
2019-05-27,270.53000000
2019-05-26,264.45000000
2019-05-25,250.22000000
2019-05-24,248.87000000
2019-05-23,244.56000000
2019-05-22,243.64000000
2019-05-21,253.43000000
2019-05-20,250.37000000
2019-05-19,259.51000000
2019-05-18,233.60000000
2019-05-17,244.30000000
2019-05-16,264.25000000
2019-05-15,248.10000000
2019-05-14,216.40000000
2019-05-13,195.84000000
2019-05-12,188.11000000
2019-05-11,190.20000000
2019-05-10,172.91000000
2019-05-09,170.90000000
2019-05-08,170.85000000
2019-05-07,169.18000000
2019-05-06,173.00000000
2019-05-05,163.05000000
2019-05-04,163.70000000
2019-05-03,168.06000000
2019-05-02,161.81000000
2019-05-01,160.19000000
2019-04-30,161.83000000
2019-04-29,155.11000000
