Date,BTC,XRP,ETH,LTC,DOGE,^GSPC,5yr Bond,10yr Bond,Gold Trust
2016-11-02,740.8289794921875,0.008221999742090702,10.752599716186523,4.104499816894531,0.00022000000171829015,2097.93994140625,1.2610000371932983,1.7990000247955322,123.63999938964844
2016-11-03,688.7000122070312,0.00802099984139204,10.800999641418457,3.861330032348633,0.00021699999342672527,2088.659912109375,1.2630000114440918,1.812000036239624,124.30000305175781
2016-11-04,703.2349853515625,0.008156999945640564,11.090700149536133,3.878890037536621,0.00021899999410379678,2085.179931640625,1.24399995803833,1.7829999923706055,124.38999938964844
2016-11-07,703.1309814453125,0.00810800027102232,10.808799743652344,3.838870048522949,0.0002390000008745119,2131.52001953125,1.2910000085830688,1.8279999494552612,122.1500015258789
2016-11-08,709.8480224609375,0.008205999620258808,10.833700180053711,3.8427600860595703,0.00022899999748915434,2139.56005859375,1.3309999704360962,1.8619999885559082,121.63999938964844
2016-11-09,723.2730102539062,0.008078999817371368,10.655500411987305,3.864609956741333,0.00022899999748915434,2163.260009765625,1.4739999771118164,2.072000026702881,121.55999755859375
2016-11-10,715.5339965820312,0.00813599955290556,10.524499893188477,3.82423996925354,0.0002280000044265762,2167.47998046875,1.5290000438690186,2.117000102996826,119.75
2016-11-14,705.02099609375,0.008097999729216099,9.966480255126953,3.8761699199676514,0.0002229999954579398,2164.199951171875,1.6469999551773071,2.2219998836517334,116.11000061035156
2016-11-15,711.6190185546875,0.007880999706685543,10.217499732971191,3.893589973449707,0.00022200000239536166,2180.389892578125,1.6740000247955322,2.23799991607666,117.12000274658203
2016-11-16,744.197998046875,0.007841999642550945,10.059100151062012,4.019480228424072,0.0002209999947808683,2176.93994140625,1.6720000505447388,2.2230000495910645,116.7699966430664
2016-11-17,740.9769897460938,0.007726999931037426,9.991180419921875,3.943190097808838,0.00022400000307243317,2187.1201171875,1.7130000591278076,2.2760000228881836,116.16999816894531
2016-11-18,751.5850219726562,0.007778000086545944,9.476160049438477,3.961319923400879,0.00021800000104121864,2181.89990234375,1.7769999504089355,2.3350000381469727,115.1500015258789
2016-11-21,739.2479858398438,0.007565999869257212,9.620820045471191,3.9448800086975098,0.00022200000239536166,2198.179931640625,1.7960000038146973,2.3389999866485596,115.58000183105469
2016-11-22,751.3469848632812,0.0074339997954666615,9.905719757080078,3.947309970855713,0.00022400000307243317,2202.93994140625,1.781000018119812,2.321000099182129,115.54000091552734
2016-11-23,744.593994140625,0.007060999982059002,9.843620300292969,3.9253199100494385,0.00021899999410379678,2204.719970703125,1.8370000123977661,2.3570001125335693,113.25
2016-11-25,741.6489868164062,0.006901999935507774,9.402050018310547,3.9154200553894043,0.00022000000171829015,2213.35009765625,1.8489999771118164,2.371999979019165,112.61000061035156
2016-11-28,735.81298828125,0.007007999811321497,8.724820137023926,3.88454008102417,0.00021800000104121864,2201.719970703125,1.8009999990463257,2.319999933242798,113.80000305175781
2016-11-29,735.60400390625,0.006779999937862158,8.17411994934082,3.8745501041412354,0.00021699999342672527,2204.659912109375,1.781000018119812,2.302000045776367,113.2699966430664
2016-11-30,745.6909790039062,0.006723000202327967,8.587539672851562,3.8937900066375732,0.00021399999968707561,2198.81005859375,1.8339999914169312,2.368000030517578,111.75
2016-12-01,756.7739868164062,0.006701999809592962,8.452500343322754,3.9090800285339355,0.00021399999968707561,2191.080078125,1.8930000066757202,2.440999984741211,111.54000091552734
2016-12-02,777.9439697265625,0.006659999955445528,7.759960174560547,3.9464399814605713,0.00021600000036414713,2191.949951171875,1.8289999961853027,2.390000104904175,112.13999938964844
2016-12-05,758.7000122070312,0.006434000097215176,6.821660041809082,3.5285799503326416,0.00021499999274965376,2204.7099609375,1.843999981880188,2.38700008392334,111.54000091552734
2016-12-06,764.2239990234375,0.006655000150203705,7.868929862976074,3.535409927368164,0.0002119999990100041,2212.22998046875,1.840999960899353,2.3959999084472656,111.43000030517578
2016-12-07,768.1320190429688,0.006850999779999256,8.38148021697998,3.615950107574463,0.00021399999968707561,2241.35009765625,1.7979999780654907,2.3469998836517334,111.83000183105469
2016-12-08,770.8099975585938,0.007096999790519476,8.230509757995605,3.6910998821258545,0.00021499999274965376,2246.18994140625,1.819000005722046,2.38700008392334,111.56999969482422
2016-12-09,772.7940063476562,0.007135000079870224,8.446009635925293,3.6914799213409424,0.0002119999990100041,2259.530029296875,1.88100004196167,2.4639999866485596,110.4000015258789
2016-12-12,780.0869750976562,0.006777999922633171,8.522210121154785,3.6623098850250244,0.00022200000239536166,2256.9599609375,1.8890000581741333,2.4790000915527344,110.81999969482422
2016-12-13,780.5560302734375,0.0067079998552799225,8.422849655151367,3.650279998779297,0.00021600000036414713,2271.719970703125,1.9119999408721924,2.4809999465942383,110.44999694824219
2016-12-14,781.4810180664062,0.006705000065267086,8.265230178833008,3.6195600032806396,0.00021699999342672527,2253.280029296875,1.99399995803833,2.5250000953674316,108.83000183105469
2016-12-15,778.0880126953125,0.006661999970674515,7.828470230102539,3.6244699954986572,0.00021499999274965376,2262.030029296875,2.068000078201294,2.5799999237060547,107.33999633789062
2016-12-16,784.906982421875,0.006709999870508909,7.85821008682251,3.6281800270080566,0.00021699999342672527,2258.070068359375,2.066999912261963,2.5969998836517334,108.05000305175781
2016-12-19,792.7139892578125,0.0065449997782707214,7.643819808959961,3.6626200675964355,0.00021800000104121864,2262.530029296875,2.0269999504089355,2.5420000553131104,108.58999633789062
2016-12-20,800.8759765625,0.006500000134110451,7.660039901733398,3.661060094833374,0.00021899999410379678,2270.760009765625,2.0460000038146973,2.568000078201294,107.79000091552734
2016-12-21,834.281005859375,0.006444999948143959,7.914400100708008,3.6534500122070312,0.00022699999681208283,2265.179931640625,2.0290000438690186,2.5460000038146973,107.8499984741211
2016-12-22,864.5399780273438,0.00636299978941679,7.585000038146973,3.7116799354553223,0.00022499999613501132,2260.9599609375,2.0360000133514404,2.552999973297119,107.58999633789062
2016-12-23,921.9840087890625,0.0062859999015927315,7.166150093078613,4.655330181121826,0.00023600000713486224,2263.7900390625,2.0299999713897705,2.5429999828338623,107.93000030517578
2016-12-27,933.197998046875,0.006198999937623739,7.170820236206055,4.469399929046631,0.00022699999681208283,2268.8798828125,2.055000066757202,2.562999963760376,108.55999755859375
2016-12-28,975.9210205078125,0.006173000205308199,7.520110130310059,4.57135009765625,0.0002229999954579398,2249.919921875,1.9980000257492065,2.50600004196167,108.86000061035156
2016-12-29,973.4970092773438,0.006341000087559223,8.284159660339355,4.555480003356934,0.0002280000044265762,2249.260009765625,1.9620000123977661,2.4769999980926514,110.29000091552734
2016-12-30,961.2379760742188,0.006426000036299229,8.159979820251465,4.390520095825195,0.0002280000044265762,2238.830078125,1.934000015258789,2.446000099182129,109.61000061035156
