,XRP
2020-07-24,0.20392000
2020-07-23,0.20851000
2020-07-22,0.20348000
2020-07-21,0.19949000
2020-07-20,0.19465000
2020-07-19,0.19956000
2020-07-18,0.19990000
2020-07-17,0.19440000
2020-07-16,0.19444000
2020-07-15,0.19721000
2020-07-14,0.19909000
2020-07-13,0.19867000
2020-07-12,0.20128000
2020-07-11,0.20110000
2020-07-10,0.19909000
2020-07-09,0.20263000
2020-07-08,0.20551000
2020-07-07,0.18508000
2020-07-06,0.18875000
2020-07-05,0.17695000
2020-07-04,0.17808000
2020-07-03,0.17620000
2020-07-02,0.17477000
2020-07-01,0.17647000
2020-06-30,0.17533000
2020-06-29,0.17726000
2020-06-28,0.17693000
2020-06-27,0.17509000
2020-06-26,0.18249000
2020-06-25,0.18156000
2020-06-24,0.18348000
2020-06-23,0.18889000
2020-06-22,0.18928000
2020-06-21,0.18602000
2020-06-20,0.18792000
2020-06-19,0.18722000
2020-06-18,0.18975000
2020-06-17,0.19315000
2020-06-16,0.19238000
2020-06-15,0.19238000
2020-06-14,0.19022000
2020-06-13,0.19234000
2020-06-12,0.19307000
2020-06-11,0.18817000
2020-06-10,0.20266000
2020-06-09,0.20127000
2020-06-08,0.20403000
2020-06-07,0.20329000
2020-06-06,0.20361000
2020-06-05,0.20274000
2020-06-04,0.20427000
2020-06-03,0.20410000
2020-06-02,0.20301000
2020-06-01,0.21100000
2020-05-31,0.20245000
2020-05-30,0.20701000
2020-05-29,0.19759000
2020-05-28,0.20052000
2020-05-27,0.19791000
2020-05-26,0.19372000
2020-05-25,0.19622000
2020-05-24,0.19256000
2020-05-23,0.19883000
2020-05-22,0.20034000
2020-05-21,0.19434000
2020-05-20,0.20179000
2020-05-19,0.20496000
2020-05-18,0.20543000
2020-05-17,0.20131000
2020-05-16,0.19969000
2020-05-15,0.19818000
2020-05-14,0.20386000
2020-05-13,0.20177000
2020-05-12,0.19711000
2020-05-11,0.19254000
2020-05-10,0.19702000
2020-05-09,0.21642000
2020-05-08,0.21865000
2020-05-07,0.21862000
2020-05-06,0.21158000
2020-05-05,0.21688000
2020-05-04,0.21776000
2020-05-03,0.21936000
2020-05-02,0.22369000
2020-05-01,0.21786000
2020-04-30,0.21135000
2020-04-29,0.22648000
2020-04-28,0.21416000
2020-04-27,0.19747000
2020-04-26,0.19618000
2020-04-25,0.19418000
2020-04-24,0.19325000
2020-04-23,0.19260000
2020-04-22,0.18804000
2020-04-21,0.18341000
2020-04-20,0.18151000
2020-04-19,0.18901000
2020-04-18,0.19544000
2020-04-17,0.18863000
2020-04-16,0.19053000
2020-04-15,0.18050000
2020-04-14,0.18613000
2020-04-13,0.18763000
2020-04-12,0.18939000
2020-04-11,0.18850000
2020-04-10,0.18758000
2020-04-09,0.19829000
2020-04-08,0.20192000
2020-04-07,0.19285000
2020-04-06,0.19803000
2020-04-05,0.17925000
2020-04-04,0.18114000
2020-04-03,0.17957000
2020-04-02,0.17828000
2020-04-01,0.17494000
2020-03-31,0.17353000
2020-03-30,0.17112000
2020-03-29,0.16278000
2020-03-28,0.17543000
2020-03-27,0.17269000
2020-03-26,0.17593000
2020-03-25,0.16168000
2020-03-24,0.16225000
2020-03-23,0.15854000
2020-03-22,0.14776000
2020-03-21,0.15797000
2020-03-20,0.15695000
2020-03-19,0.16460000
2020-03-18,0.14760000
2020-03-17,0.14694000
2020-03-16,0.14102000
2020-03-15,0.15308000
2020-03-14,0.14588000
2020-03-13,0.15872000
2020-03-12,0.13549000
2020-03-11,0.20813000
2020-03-10,0.21185000
2020-03-09,0.20952000
2020-03-08,0.20385000
2020-03-07,0.23622000
2020-03-06,0.24477000
2020-03-05,0.23909000
2020-03-04,0.23453000
2020-03-03,0.23428000
2020-03-02,0.23958000
2020-03-01,0.22696000
2020-02-29,0.22892000
2020-02-28,0.23663000
2020-02-27,0.23850000
2020-02-26,0.22915000
2020-02-25,0.25209000
2020-02-24,0.27040000
2020-02-23,0.28298000
2020-02-22,0.27468000
2020-02-21,0.27418000
2020-02-20,0.27090000
2020-02-19,0.27466000
2020-02-18,0.29827000
2020-02-17,0.28736000
2020-02-16,0.29224000
2020-02-15,0.30729000
2020-02-14,0.33594000
2020-02-13,0.32709000
2020-02-12,0.30427000
2020-02-11,0.28100000
2020-02-10,0.27338000
2020-02-09,0.28257000
2020-02-08,0.27735000
2020-02-07,0.27953000
2020-02-06,0.28325000
2020-02-05,0.27774000
2020-02-04,0.26737000
2020-02-03,0.25453000
2020-02-02,0.25093000
2020-02-01,0.24141000
2020-01-31,0.23946000
2020-01-30,0.24376000
2020-01-29,0.23539000
2020-01-28,0.23906000
2020-01-27,0.23077000
2020-01-26,0.23131000
2020-01-25,0.21946000
2020-01-24,0.22222000
2020-01-23,0.22586000
2020-01-22,0.23733000
2020-01-21,0.23726000
2020-01-20,0.23314000
2020-01-19,0.23558000
2020-01-18,0.24357000
2020-01-17,0.23921000
2020-01-16,0.22900000
2020-01-15,0.23367000
2020-01-14,0.23464000
2020-01-13,0.21134000
2020-01-12,0.21539000
2020-01-11,0.21121000
2020-01-10,0.21284000
2020-01-09,0.20373000
2020-01-08,0.20750000
2020-01-07,0.21335000
2020-01-06,0.22310000
2020-01-05,0.19453000
2020-01-04,0.19305000
2020-01-03,0.19338000
2020-01-02,0.18750000
2020-01-01,0.19305000
2019-12-31,0.19295000
2019-12-30,0.19326000
2019-12-29,0.19653000
2019-12-28,0.19320000
2019-12-27,0.19003000
2019-12-26,0.18923000
2019-12-25,0.18852000
2019-12-24,0.19077000
2019-12-23,0.18953000
2019-12-22,0.19649000
2019-12-21,0.19143000
2019-12-20,0.19521000
2019-12-19,0.18780000
2019-12-18,0.19573000
2019-12-17,0.18310000
2019-12-16,0.20550000
2019-12-15,0.21735000
2019-12-14,0.21605000
2019-12-13,0.22054000
2019-12-12,0.21837000
2019-12-11,0.22093000
2019-12-10,0.22256000
2019-12-09,0.22445000
2019-12-08,0.22909000
2019-12-07,0.22699000
2019-12-06,0.22546000
2019-12-05,0.22118000
2019-12-04,0.21390000
2019-12-03,0.21951000
2019-12-02,0.21914000
2019-12-01,0.22477000
2019-11-30,0.22550000
2019-11-29,0.22998000
2019-11-28,0.22313000
2019-11-27,0.22400000
2019-11-26,0.22060000
2019-11-25,0.21731000
2019-11-24,0.21989000
2019-11-23,0.23407000
2019-11-22,0.23000000
2019-11-21,0.24345000
2019-11-20,0.25014000
2019-11-19,0.25398000
2019-11-18,0.25179000
2019-11-17,0.26311000
2019-11-16,0.26218000
2019-11-15,0.26069000
2019-11-14,0.26795000
2019-11-13,0.27202000
2019-11-12,0.27222000
2019-11-11,0.27423000
2019-11-10,0.27894000
2019-11-09,0.27990000
2019-11-08,0.27547000
2019-11-07,0.29061000
2019-11-06,0.31009000
2019-11-05,0.30061000
2019-11-04,0.29863000
2019-11-03,0.29024000
2019-11-02,0.29456000
2019-11-01,0.29146000
2019-10-31,0.29452000
2019-10-30,0.29471000
2019-10-29,0.30192000
2019-10-28,0.29447000
2019-10-27,0.29818000
2019-10-26,0.29351000
2019-10-25,0.29829000
2019-10-24,0.27596000
2019-10-23,0.27306000
2019-10-22,0.29046000
2019-10-21,0.29187000
2019-10-20,0.29386000
2019-10-19,0.29145000
2019-10-18,0.29404000
2019-10-17,0.30167000
2019-10-16,0.28331000
2019-10-15,0.28859000
2019-10-14,0.29727000
2019-10-13,0.27726000
2019-10-12,0.27226000
2019-10-11,0.26743000
2019-10-10,0.27021000
2019-10-09,0.28082000
2019-10-08,0.27740000
2019-10-07,0.27592000
2019-10-06,0.25552000
2019-10-05,0.25325000
2019-10-04,0.25243000
2019-10-03,0.24674000
2019-10-02,0.25247000
2019-10-01,0.24788000
2019-09-30,0.25660000
2019-09-29,0.24024000
2019-09-28,0.24163000
2019-09-27,0.24208000
2019-09-26,0.24220000
2019-09-25,0.24570000
2019-09-24,0.23282000
2019-09-23,0.26786000
2019-09-22,0.27653000
2019-09-21,0.28961000
2019-09-20,0.29360000
2019-09-19,0.30062000
2019-09-18,0.31344000
2019-09-17,0.28561000
2019-09-16,0.26098000
2019-09-15,0.26022000
2019-09-14,0.26124000
2019-09-13,0.25520000
2019-09-12,0.25406000
2019-09-11,0.25519000
2019-09-10,0.25859000
2019-09-09,0.25855000
2019-09-08,0.26205000
2019-09-07,0.25993000
2019-09-06,0.25110000
2019-09-05,0.25617000
2019-09-04,0.25843000
2019-09-03,0.26242000
2019-09-02,0.26060000
2019-09-01,0.25593000
2019-08-31,0.25747000
2019-08-30,0.25539000
2019-08-29,0.25698000
2019-08-28,0.25629000
2019-08-27,0.26954000
2019-08-26,0.27051000
2019-08-25,0.26954000
2019-08-24,0.27137000
2019-08-23,0.27664000
2019-08-22,0.27039000
2019-08-21,0.26589000
2019-08-20,0.27432000
2019-08-19,0.28202000
2019-08-18,0.28320000
2019-08-17,0.26546000
2019-08-16,0.26047000
2019-08-15,0.26378000
2019-08-14,0.26353000
2019-08-13,0.29800000
2019-08-12,0.30060000
2019-08-11,0.30316000
2019-08-10,0.29918000
2019-08-09,0.29649000
2019-08-08,0.30825000
2019-08-07,0.31109000
2019-08-06,0.31160000
2019-08-05,0.32242000
2019-08-04,0.31813000
2019-08-03,0.31596000
2019-08-02,0.31178000
2019-08-01,0.31575000
2019-07-31,0.31959000
2019-07-30,0.31823000
2019-07-29,0.31004000
2019-07-28,0.31218000
2019-07-27,0.30965000
2019-07-26,0.32303000
2019-07-25,0.31335000
2019-07-24,0.31548000
2019-07-23,0.30891000
2019-07-22,0.32111000
2019-07-21,0.33075000
2019-07-20,0.33279000
2019-07-19,0.31880000
2019-07-18,0.32035000
2019-07-17,0.31032000
2019-07-16,0.29543000
2019-07-15,0.31287000
2019-07-14,0.30366000
2019-07-13,0.33206000
2019-07-12,0.34336000
2019-07-11,0.32875000
2019-07-10,0.36154000
