,Date,BTC,ETH,LTC,XRP
160,2021-01-06,36769.36000000,1208.42000000,168.92000000,0.24854000
161,2021-01-05,33949.53000000,1099.56000000,158.43000000,0.22573000
162,2021-01-04,31988.71000000,1041.43000000,155.34000000,0.23565000
163,2021-01-03,33000.05000000,978.28000000,161.24000000,0.22540000
164,2021-01-02,32178.33000000,774.56000000,136.96000000,0.22064000
165,2021-01-01,29331.69000000,728.91000000,126.24000000,0.23746000
166,2020-12-31,28923.63000000,736.42000000,124.21000000,0.21959000
167,2020-12-30,28875.54000000,752.17000000,130.05000000,0.21138000
168,2020-12-29,27385.00000000,732.00000000,128.80000000,0.22142000
169,2020-12-28,27079.41000000,730.41000000,129.83000000,0.24845000
170,2020-12-27,26281.66000000,685.11000000,127.88000000,0.28407000
171,2020-12-26,26493.39000000,637.44000000,129.61000000,0.29481000
172,2020-12-25,24712.47000000,626.82000000,127.78000000,0.31768000
173,2020-12-24,23729.20000000,612.31000000,111.13000000,0.33863000
174,2020-12-23,23232.76000000,585.56000000,102.45000000,0.26050000
175,2020-12-22,23810.79000000,636.45000000,114.32000000,0.44642000
176,2020-12-21,22719.71000000,607.58000000,104.45000000,0.51445000
177,2020-12-20,23455.52000000,638.18000000,114.58000000,0.55586000
178,2020-12-19,23821.61000000,658.03000000,119.85000000,0.57666000
179,2020-12-18,23107.39000000,653.85000000,109.34000000,0.58337000
180,2020-12-17,22797.16000000,642.70000000,101.01000000,0.57690000
181,2020-12-16,21335.52000000,637.18000000,92.94000000,0.56941000
182,2020-12-15,19426.43000000,588.64000000,81.32000000,0.46793000
183,2020-12-14,19273.14000000,586.29000000,82.35000000,0.49740000
184,2020-12-13,19174.99000000,590.70000000,82.28000000,0.51365000
185,2020-12-12,18808.69000000,568.04000000,76.67000000,0.50658000
186,2020-12-11,18036.53000000,544.43000000,72.20000000,0.54945000
187,2020-12-10,18254.63000000,558.99000000,74.70000000,0.57267000
188,2020-12-09,18541.28000000,573.09000000,77.41000000,0.58265000
189,2020-12-08,18324.11000000,554.94000000,76.76000000,0.55890000
190,2020-12-07,19166.90000000,591.28000000,83.37000000,0.60818000
191,2020-12-06,19359.40000000,601.54000000,83.55000000,0.62107000
192,2020-12-05,19147.66000000,596.80000000,83.14000000,0.58517000
193,2020-12-04,18650.52000000,567.24000000,79.52000000,0.55367000
194,2020-12-03,19421.90000000,615.85000000,89.00000000,0.63046000
195,2020-12-02,19204.09000000,596.89000000,88.90000000,0.62972000
196,2020-12-01,18764.96000000,585.26000000,85.08000000,0.61088000
197,2020-11-30,19695.87000000,616.66000000,87.65000000,0.66417000
198,2020-11-29,18184.99000000,576.30000000,78.91000000,0.60543000
199,2020-11-28,17719.85000000,537.52000000,72.70000000,0.62579000
200,2020-11-27,17139.52000000,518.68000000,69.15000000,0.56230000
201,2020-11-26,17149.47000000,519.83000000,71.00000000,0.53654000
202,2020-11-25,18719.11000000,569.50000000,81.75000000,0.63022000
203,2020-11-24,19160.01000000,604.97000000,89.25000000,0.69400000
204,2020-11-23,18368.00000000,608.58000000,89.03000000,0.61579000
205,2020-11-22,18414.43000000,560.03000000,82.87000000,0.44611000
206,2020-11-21,18703.80000000,552.35000000,87.14000000,0.46283000
207,2020-11-20,18655.67000000,510.12000000,82.53000000,0.32991000
208,2020-11-19,17802.82000000,471.25000000,81.53000000,0.30358000
209,2020-11-18,17776.12000000,478.41000000,73.42000000,0.29335000
210,2020-11-17,17659.38000000,482.15000000,76.32000000,0.30247000
211,2020-11-16,16713.57000000,460.55000000,73.84000000,0.28813000
212,2020-11-15,15957.00000000,448.08000000,62.28000000,0.26954000
213,2020-11-14,16070.45000000,460.89000000,63.85000000,0.26824000
214,2020-11-13,16320.70000000,476.43000000,65.96000000,0.26590000
215,2020-11-12,16291.86000000,462.39000000,60.72000000,0.25490000
216,2020-11-11,15684.24000000,463.09000000,59.27000000,0.25581000
217,2020-11-10,15297.21000000,450.34000000,57.93000000,0.25380000
218,2020-11-09,15328.41000000,444.32000000,59.23000000,0.25059000
219,2020-11-08,15475.10000000,454.30000000,61.02000000,0.25374000
220,2020-11-07,14818.30000000,435.21000000,58.90000000,0.24910000
221,2020-11-06,15579.92000000,455.91000000,63.20000000,0.25863000
222,2020-11-05,15590.02000000,416.69000000,58.95000000,0.24561000
223,2020-11-04,14144.01000000,402.49000000,54.67000000,0.23758000
224,2020-11-03,14023.53000000,387.88000000,53.96000000,0.23960000
225,2020-11-02,13549.37000000,383.02000000,53.80000000,0.23523000
226,2020-11-01,13761.50000000,396.67000000,55.60000000,0.23999000
227,2020-10-31,13791.00000000,386.46000000,55.72000000,0.23968000
228,2020-10-30,13560.10000000,382.49000000,54.01000000,0.23905000
229,2020-10-29,13455.70000000,387.13000000,54.87000000,0.24239000
230,2020-10-28,13266.40000000,388.23000000,55.77000000,0.24540000
231,2020-10-27,13636.17000000,403.45000000,57.91000000,0.25273000
232,2020-10-26,13052.19000000,392.52000000,56.82000000,0.24810000
233,2020-10-25,13028.83000000,405.86000000,58.84000000,0.25313000
234,2020-10-24,13111.73000000,412.14000000,59.23000000,0.25620000
235,2020-10-23,12923.07000000,409.11000000,55.42000000,0.25471000
236,2020-10-22,12968.52000000,413.98000000,54.35000000,0.25709000
237,2020-10-21,12780.96000000,390.38000000,52.98000000,0.25088000
238,2020-10-20,11909.99000000,368.52000000,46.88000000,0.24322000
239,2020-10-19,11751.47000000,379.30000000,47.99000000,0.24558000
240,2020-10-18,11503.14000000,378.11000000,47.54000000,0.24221000
241,2020-10-17,11360.20000000,368.32000000,46.93000000,0.24057000
242,2020-10-16,11319.32000000,365.50000000,47.60000000,0.24011000
243,2020-10-15,11505.12000000,377.64000000,49.53000000,0.24596000
244,2020-10-14,11417.89000000,378.69000000,49.79000000,0.24906000
245,2020-10-13,11420.56000000,381.04000000,49.89000000,0.25650000
246,2020-10-12,11528.25000000,386.51000000,50.58000000,0.25603000
247,2020-10-11,11369.02000000,374.16000000,50.48000000,0.25544000
248,2020-10-10,11293.22000000,370.52000000,48.88000000,0.25402000
249,2020-10-09,11050.64000000,365.02000000,47.78000000,0.25293000
250,2020-10-08,10925.57000000,350.95000000,47.21000000,0.25141000
251,2020-10-07,10666.39000000,341.58000000,46.55000000,0.24870000
252,2020-10-06,10599.66000000,340.75000000,45.99000000,0.24545000
253,2020-10-05,10792.21000000,353.62000000,46.34000000,0.25030000
254,2020-10-04,10666.63000000,352.37000000,46.69000000,0.24794000
255,2020-10-03,10542.06000000,345.95000000,45.51000000,0.23273000
256,2020-10-02,10570.40000000,345.60000000,44.88000000,0.23386000
257,2020-10-01,10619.13000000,352.85000000,46.25000000,0.23819000
258,2020-09-30,10776.59000000,359.83000000,46.24000000,0.24171000
259,2020-09-29,10840.48000000,359.79000000,45.69000000,0.24285000
260,2020-09-28,10696.12000000,353.96000000,45.23000000,0.24107000
261,2020-09-27,10774.25000000,357.49000000,46.05000000,0.24334000
262,2020-09-26,10728.60000000,353.92000000,46.03000000,0.24153000
263,2020-09-25,10686.67000000,351.92000000,46.02000000,0.24154000
264,2020-09-24,10736.32000000,348.97000000,44.92000000,0.23276000
265,2020-09-23,10241.46000000,320.72000000,42.96000000,0.22164000
266,2020-09-22,10529.61000000,344.21000000,44.47000000,0.23302000
267,2020-09-21,10417.22000000,340.36000000,43.16000000,0.23102000
268,2020-09-20,10920.28000000,371.04000000,47.09000000,0.24652000
269,2020-09-19,11080.65000000,385.25000000,48.52000000,0.25112000
270,2020-09-18,10933.39000000,384.39000000,48.54000000,0.25065000
271,2020-09-17,10939.99000000,389.36000000,48.85000000,0.25214000
272,2020-09-16,10954.01000000,365.11000000,47.76000000,0.24686000
273,2020-09-15,10785.31000000,364.06000000,48.31000000,0.24331000
274,2020-09-14,10671.77000000,377.12000000,49.08000000,0.24564000
275,2020-09-13,10332.83000000,366.42000000,48.15000000,0.24218000
276,2020-09-12,10440.92000000,387.78000000,50.80000000,0.24752000
277,2020-09-11,10387.89000000,373.63000000,48.96000000,0.24252000
278,2020-09-10,10336.87000000,367.93000000,48.67000000,0.24302000
279,2020-09-09,10219.20000000,350.85000000,47.82000000,0.23901000
280,2020-09-08,10126.65000000,337.39000000,47.47000000,0.23657000
281,2020-09-07,10373.44000000,353.59000000,48.84000000,0.24198000
282,2020-09-06,10256.20000000,352.80000000,47.92000000,0.23986000
283,2020-09-05,10166.69000000,335.01000000,47.83000000,0.23738000
284,2020-09-04,10446.25000000,385.26000000,50.32000000,0.25385000
285,2020-09-03,10140.85000000,381.40000000,47.28000000,0.24409000
286,2020-09-02,11388.54000000,439.50000000,58.06000000,0.27595000
287,2020-09-01,11921.97000000,475.40000000,62.69000000,0.29521000
288,2020-08-31,11649.51000000,433.79000000,60.92000000,0.28115000
289,2020-08-30,11711.16000000,428.94000000,62.89000000,0.28302000
290,2020-08-29,11465.84000000,398.65000000,56.97000000,0.27380000
291,2020-08-28,11526.91000000,395.11000000,57.38000000,0.27174000
292,2020-08-27,11330.38000000,383.27000000,56.10000000,0.26469000
293,2020-08-26,11461.43000000,385.81000000,58.10000000,0.27653000
294,2020-08-25,11318.42000000,382.93000000,58.34000000,0.27625000
295,2020-08-24,11748.20000000,407.68000000,62.02000000,0.28840000
296,2020-08-23,11648.13000000,390.71000000,60.55000000,0.28480000
297,2020-08-22,11662.96000000,395.24000000,60.21000000,0.28592000
298,2020-08-21,11531.34000000,387.97000000,59.20000000,0.27933000
299,2020-08-20,11853.55000000,415.94000000,62.80000000,0.29218000
300,2020-08-19,11754.59000000,407.46000000,62.12000000,0.28975000
301,2020-08-18,11945.01000000,421.95000000,65.40000000,0.30251000
302,2020-08-17,12281.13000000,430.89000000,67.22000000,0.31539000
303,2020-08-16,11911.00000000,433.62000000,63.87000000,0.30455000
304,2020-08-15,11852.40000000,432.32000000,59.85000000,0.29884000
305,2020-08-14,11760.54000000,438.11000000,56.78000000,0.29995000
306,2020-08-13,11780.00000000,424.54000000,57.14000000,0.29420000
307,2020-08-12,11564.33000000,387.18000000,54.52000000,0.28233000
308,2020-08-11,11392.08000000,379.00000000,54.10000000,0.28310000
309,2020-08-10,11892.92000000,395.44000000,58.27000000,0.29469000
310,2020-08-09,11681.68000000,390.14000000,56.96000000,0.28790000
311,2020-08-08,11761.41000000,397.03000000,58.46000000,0.29527000
312,2020-08-07,11594.23000000,379.34000000,57.17000000,0.29437000
313,2020-08-06,11762.46000000,394.77000000,59.03000000,0.30311000
314,2020-08-05,11744.91000000,400.72000000,58.88000000,0.30228000
